,349
William,William494
John,John300
George,George308
Thomas,Thomas266
James,James361
Arthur,Arthur486
Frederick,Frederick455
Charles,Charles255
Albert,Albert210
Robert,Robert396
Joseph,Joseph399
Alfred,Alfred247
Henry,Henry421
Ernest,Ernest297
Harry,Harry118
Harold,Harold495
Edward,Edward152
Walter,Walter161
Frank,Frank305
Herbert,Herbert120
Richard,Richard352
Reginald,Reginald391
Percy,Percy283
Leonard,Leonard148
Samuel,Samuel380
David,David477
Sidney,Sidney202
Francis,Francis335
Stanley,Stanley115
Fred,Fred261
Cecil,Cecil312
Horace,Horace195
Cyril,Cyril179
Wilfred,Wilfred322
Sydney,Sydney112
Leslie,Leslie408
Norman,Norman410
Edwin,Edwin495
Victor,Victor134
Benjamin,Benjamin169
Tom,Tom370
Hector,Hector390
Jack,Jack298
Alexander,Alexander414
Edgar,Edgar415
Bertie,Bertie163
Eric,Eric137
Philip,Philip201
Clifford,Clifford415
Redvers,Redvers468
Baden,Baden228
Bernard,Bernard223
Daniel,Daniel111
Donald,Donald343
Ralph,Ralph261
Archibald,Archibald245
Stephen,Stephen154
Willie,Willie214
Peter,Peter150
Christopher,Christopher147
Hugh,Hugh249
Lewis,Lewis333
Douglas,Douglas156
Gilbert,Gilbert440
Ronald,Ronald364
Isaac,Isaac200
Hubert,Hubert204
Maurice,Maurice168
Clarence,Clarence327
Lawrence,Lawrence280
Michael,Michael381
Edmund,Edmund147
Patrick,Patrick340
Percival,Percival168
Andrew,Andrew455
Matthew,Matthew331
Evan,Evan248
Wilfrid,Wilfrid369
Bertram,Bertram454
Louis,Louis442
Arnold,Arnold145
Kenneth,Kenneth436
Gordon,Gordon112
Ivor,Ivor476
Gerald,Gerald140
Abraham,Abraham450
Geoffrey,Geoffrey392
Owen,Owen323
Raymond,Raymond476
Oliver,Oliver387
Claude,Claude442
Alan,Alan104
Mark,Mark171
Jesse,Jesse264
Reuben,Reuben209
Roland,Roland104
Lionel,Lionel234
Alec,Alec430
Charlie,Charlie300
Howard,Howard156
Sam,Sam161
Morris,Morris287
Vincent,Vincent383
Dennis,Dennis458
Laurence,Laurence376
Martin,Martin174
Joe,Joe397
Allan,Allan164
Jacob,Jacob403
Roberts,Roberts465
Rowland,Rowland156
Wallace,Wallace120
Bert,Bert382
Anthony,Anthony143
Oswald,Oswald292
Frederic,Frederic143
Archie,Archie390
Roy,Roy405
Trevor,Trevor467
Colin,Colin150
Clement,Clement295
Jonathan,Jonathan423
Joshua,Joshua362
Enoch,Enoch116
Leo,Leo371
Basil,Basil204
Ellis,Ellis334
Denis,Denis335
Eli,Eli131
Allen,Allen343
Aubrey,Aubrey292
Solomon,Solomon301
Ben,Ben319
Israel,Israel357
Cornelius,Cornelius402
Nicholas,Nicholas111
Nathan,Nathan247
Hyman,Hyman363
Augustus,Augustus311
Vernon,Vernon366
Griffith,Griffith193
Gwilym,Gwilym309
Josiah,Josiah232
Noel,Noel392
Austin,Austin247
Simon,Simon417
Jim,Jim386
Rupert,Rupert217
Roger,Roger181
Godfrey,Godfrey265
Llewellyn,Llewellyn221
Timothy,Timothy179
Winston,Winston234
Amos,Amos207
Elijah,Elijah460
Idris,Idris404
Hedley,Hedley297
Adam,Adam221
Aaron,Aaron397
Lancelot,Lancelot430
Morgan,Morgan354
Nathaniel,Nathaniel219
Moses,Moses181
Claud,Claud443
Dudley,Dudley130
Levi,Levi130
Stuart,Stuart241
Cuthbert,Cuthbert300
Paul,Paul392
Brinley,Brinley449
Guy,Guy400
Emlyn,Emlyn333
Nelson,Nelson108
Dick,Dick440
Montague,Montague393
Theodore,Theodore344
Harris,Harris215
Charley,Charley182
Russell,Russell100
Job,Job462
Ian,Ian347
Luke,Luke475
Emmanuel,Emmanuel253
Jeremiah,Jeremiah486
Ambrose,Ambrose154
Herman,Herman394
Carl,Carl209
Emrys,Emrys217
Vivian,Vivian182
Dan,Dan457
Elias,Elias337
Myer,Myer142
Valentine,Valentine464
Felix,Felix292
Rees,Rees474
Harvey,Harvey157
Granville,Granville151
Malcolm,Malcolm211
Ephraim,Ephraim279
